directors,popularity,stars,title,writers
"Steven Spielberg,Jeffrey Boam,George Lucas,3 more credits,Harrison Ford,Sean Connery,Alison Doody,See full cast & crew",816,,Indiana Jones and the Last Crusade ,
"Curtis Hanson,James Ellroy,Brian Helgeland,1 more credit,Kevin Spacey,Russell Crowe,Guy Pearce,See full cast & crew",908,,L.A. Confidential ,
"Asghar Farhadi,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,See full cast & crew","2,062",,A Separation ,
"Sergio Leone,Sergio Leone,Fulvio Morsella,2 more credits,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,See full cast & crew","2,495",,For a Few Dollars More ,
"Fritz Lang,Thea von Harbou,Thea von Harbou,Brigitte Helm,Alfred Abel,Gustav Fröhlich,See full cast & crew","1,932",,Metropolis ,
"Brian De Palma,Oliver Stone,Al Pacino,Michelle Pfeiffer,Steven Bauer,See full cast & crew",643,,Scarface ,
"Billy Wilder,Billy Wilder,I.A.L. Diamond,Jack Lemmon,Shirley MacLaine,Fred MacMurray,See full cast & crew",,,The Apartment ,
"Guy Ritchie,Guy Ritchie,Jason Statham,Brad Pitt,Benicio Del Toro,See full cast & crew",700,,Snatch ,
"Gus Van Sant,Matt Damon,Ben Affleck,Robin Williams,Matt Damon,Ben Affleck,See full cast & crew",405,,Good Will Hunting ,
"Thomas Vinterberg,Tobias Lindholm,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,See full cast & crew","1,038",,The Hunt ,
"Lee Unkrich,John Lasseter,Andrew Stanton,2 more credits,Tom Hanks,Tim Allen,Joan Cusack,See full cast & crew",825,,Toy Story 3 ,
"Vittorio De Sica,Cesare Zavattini,Luigi Bartolini,7 more credits,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,See full cast & crew",,,Bicycle Thieves ,
"George Roy Hill,David S. Ward,Paul Newman,Robert Redford,Robert Shaw,See full cast & crew","1,629",,The Sting ,
"Robert Mulligan,Harper Lee,Horton Foote,Gregory Peck,John Megna,Frank Overton,See full cast & crew","1,237",,To Kill a Mockingbird ,
"Stanley Kubrick,Stanley Kubrick,Michael Herr,2 more credits,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,See full cast & crew",544,,Full Metal Jacket ,
"Martin Scorsese,Paul Schrader,Robert De Niro,Jodie Foster,Cybill Shepherd,See full cast & crew",436,,Taxi Driver ,
"Quentin Tarantino,Eli Roth,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,See full cast & crew",231,,Inglourious Basterds ,
"Billy Wilder,Billy Wilder,Raymond Chandler,1 more credit,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,See full cast & crew","3,334",,Double Indemnity ,
"Jean-Pierre Jeunet,Guillaume Laurant,Jean-Pierre Jeunet,1 more credit,Audrey Tautou,Mathieu Kassovitz,Rufus,See full cast & crew","1,216",,Amélie ,
"Stanley Kubrick,Stanley Kubrick,Arthur C. Clarke,Keir Dullea,Gary Lockwood,William Sylvester,See full cast & crew",485,,2001: A Space Odyssey ,
"John Lasseter,John Lasseter,Pete Docter,6 more credits,Tom Hanks,Tim Allen,Don Rickles,See full cast & crew",594,,Toy Story ,
"Stanley Donen,Gene Kelly,Betty Comden,Adolph Green,Gene Kelly,Donald O'Connor,Debbie Reynolds,See full cast & crew","1,973",,Singin' in the Rain ,
"Rajkumar Hirani,Rajkumar Hirani,Abhijat Joshi,3 more credits,Aamir Khan,Madhavan,Mona Singh,See full cast & crew","1,492",,3 Idiots ,
"David Lean,T.E. Lawrence,Robert Bolt,1 more credit,Peter O'Toole,Alec Guinness,Anthony Quinn,See full cast & crew","1,622",,Lawrence of Arabia ,
"Darren Aronofsky,Hubert Selby Jr.,Hubert Selby Jr.,1 more credit,Ellen Burstyn,Jared Leto,Jennifer Connelly,See full cast & crew",352,,Requiem for a Dream ,
"Nitesh Tiwari,Piyush Gupta,Shreyas Jain,3 more credits,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,See full cast & crew",,,Dangal ,
"Milos Forman,Peter Shaffer,Peter Shaffer,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,See full cast & crew",949,,Amadeus ,
"Quentin Tarantino,Quentin Tarantino,Quentin Tarantino,1 more credit,Harvey Keitel,Tim Roth,Michael Madsen,See full cast & crew",680,,Reservoir Dogs ,
"Orson Welles,Herman J. Mankiewicz,Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore,See full cast & crew",904,,Citizen Kane ,
"Richard Marquand,Lawrence Kasdan,George Lucas,1 more credit,Mark Hamill,Harrison Ford,Carrie Fisher,See full cast & crew","1,027",,Star Wars: Episode VI - Return of the Jedi ,
"Wolfgang Petersen,Wolfgang Petersen,Lothar G. Buchheim,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,See full cast & crew","1,739",,Das Boot ,
"Mel Gibson,Randall Wallace,Mel Gibson,Sophie Marceau,Patrick McGoohan,See full cast & crew",451,,Braveheart ,
"Sam Mendes,Alan Ball,Kevin Spacey,Annette Bening,Thora Birch,See full cast & crew",277,,American Beauty ,
"Lee Unkrich,Adrian Molina,Lee Unkrich,Jason Katz,4 more credits,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,See full cast & crew",376,,Coco ,
